id,age,gender,annual_income,marital_status,num_children,education,years_of_employment,credit_history,current_debt,loan_purpose
1,59,female,134517,single,3,master,38,good,2826,home
2,22,male,76450,widowed,2,master,31,average,5058,personal
3,31,female,82979,single,3,master,15,good,4040,education
4,63,male,149194,widowed,4,phd,25,good,4262,business
5,63,female,115238,single,5,bachelor,8,good,8219,education
6,36,female,141080,divorced,2,phd,13,good,6424,home
7,34,female,137597,married,1,bachelor,26,good,969,home
8,19,female,148445,married,3,master,29,good,2595,education
9,58,female,139257,single,2,master,36,average,2647,car
10,35,female,144624,single,4,master,7,good,6234,business
11,24,male,113987,divorced,2,bachelor,9,good,4757,education
12,21,male,50375,widowed,2,master,22,good,3034,car
13,30,female,97573,married,4,master,32,good,6898,personal
14,49,female,76171,divorced,4,master,35,good,4176,car
15,70,male,109675,single,3,master,47,good,6668,education
16,61,male,84075,married,4,phd,45,average,4461,personal
17,65,male,142659,divorced,5,bachelor,49,average,8510,business
18,30,male,52722,divorced,1,bachelor,35,average,7171,personal
19,62,male,98180,widowed,4,phd,24,average,5341,personal
20,50,male,66818,single,0,phd,40,average,962,business
21,45,male,142553,widowed,2,phd,33,average,4319,car
22,63,female,131352,single,1,phd,34,average,5204,personal
23,53,female,143957,divorced,1,master,17,good,7921,business
24,59,female,126420,married,5,bachelor,23,average,9716,personal
25,35,female,96217,single,5,phd,21,average,4700,personal
26,22,female,142947,married,4,master,5,good,2250,business
27,40,female,97769,widowed,0,master,33,good,5474,education
28,19,male,66598,divorced,5,master,21,good,9395,home
29,49,male,107726,widowed,4,master,50,average,1592,car
30,44,male,65226,widowed,5,bachelor,27,good,1539,business
31,39,female,82603,single,5,bachelor,12,good,5818,car
32,55,male,135253,widowed,5,bachelor,7,good,3079,home
33,62,male,113054,divorced,3,bachelor,11,good,1731,home
34,35,male,75225,divorced,1,phd,49,good,7806,education
35,54,male,101308,married,0,bachelor,11,average,2997,car
36,22,male,88622,married,1,phd,29,good,2044,home
37,70,male,142796,single,5,phd,7,average,7707,car
38,36,male,87112,widowed,3,master,37,good,8611,education
39,43,male,63960,divorced,2,bachelor,38,average,2049,car
40,59,female,122516,widowed,5,phd,47,average,7170,car
41,60,male,61727,married,3,master,3,average,9314,personal
42,31,male,99247,divorced,2,master,40,good,2749,home
43,62,male,92810,widowed,4,phd,47,average,8862,home
44,59,female,111574,single,1,bachelor,15,average,9906,business
45,53,male,118238,divorced,0,master,33,good,6169,education
46,70,female,109324,single,2,bachelor,37,good,671,personal
47,31,female,88940,divorced,4,bachelor,44,good,5670,business
48,58,female,93614,divorced,0,bachelor,39,good,2477,business
49,57,male,106644,widowed,4,phd,49,average,2845,home
