id,age,gender,annual_income,marital_status,num_children,education,years_of_employment,credit_history,current_debt,loan_purpose
1,54,female,23251,divorced,4,high_school,2,poor,19330,business
2,47,male,30255,single,5,high_school,2,poor,14597,education
3,44,male,47422,divorced,5,high_school,1,poor,25925,car
4,40,male,36820,single,3,high_school,1,poor,27150,education
5,18,female,33478,married,1,high_school,1,poor,37535,car
6,32,female,40328,divorced,0,high_school,1,poor,14105,car
7,70,female,23329,single,1,high_school,1,poor,49042,education
8,50,female,25532,single,4,high_school,1,poor,48083,home
9,27,female,30917,divorced,0,high_school,2,poor,12654,education
10,37,female,31545,divorced,4,high_school,2,poor,40435,car
11,45,female,20579,single,0,high_school,0,poor,45555,car
12,39,male,42936,single,5,high_school,2,poor,30203,personal
13,27,male,49501,widowed,5,high_school,0,poor,39952,business
14,59,male,46085,married,1,high_school,1,poor,38136,education
15,24,female,49121,divorced,0,high_school,0,poor,39548,business
16,66,male,42226,single,2,high_school,0,poor,18668,business
17,36,male,41619,single,3,high_school,1,poor,31952,personal
18,21,female,48390,divorced,2,high_school,0,poor,35677,car
19,61,female,27031,married,0,high_school,0,poor,36335,education
20,23,female,37479,divorced,4,high_school,1,poor,33501,personal
21,42,male,44887,widowed,3,high_school,0,poor,47540,business
22,67,female,23167,single,4,high_school,0,poor,22474,business
23,23,female,26158,widowed,3,high_school,2,poor,41419,home
24,30,female,20058,married,3,high_school,1,poor,41957,business
25,62,female,42945,divorced,5,high_school,1,poor,36681,car
26,26,female,40591,divorced,2,high_school,2,poor,33407,home
27,68,male,48969,single,0,high_school,0,poor,43074,business
28,33,male,40432,widowed,3,high_school,2,poor,35105,personal
29,57,female,49012,married,2,high_school,0,poor,20727,business
30,40,male,31031,married,0,high_school,0,poor,31835,home
31,39,female,43021,single,5,high_school,0,poor,48920,personal
32,47,male,28347,widowed,4,high_school,1,poor,49485,education
33,23,female,37471,single,1,high_school,1,poor,43198,business
34,19,female,37872,divorced,0,high_school,1,poor,27270,personal
35,49,male,20796,married,3,high_school,2,poor,34024,home
36,27,female,38227,divorced,5,high_school,0,poor,26414,personal
37,51,male,43759,married,1,high_school,0,poor,38398,personal
38,46,male,40685,divorced,3,high_school,2,poor,18457,personal
39,35,female,43647,widowed,4,high_school,1,poor,16706,home
40,22,male,49937,single,5,high_school,1,poor,12947,home
41,45,male,20396,married,2,high_school,2,poor,44712,education
42,30,female,21464,widowed,4,high_school,2,poor,32326,business
43,31,female,39218,divorced,5,high_school,2,poor,30362,car
44,66,male,28062,married,2,high_school,2,poor,13832,car
45,66,female,37264,widowed,2,high_school,1,poor,15855,home
46,29,male,31914,widowed,1,high_school,2,poor,16169,personal
47,26,female,29312,married,3,high_school,0,poor,17076,home
48,43,male,42309,divorced,5,high_school,2,poor,25723,personal
49,61,male,29432,widowed,1,high_school,0,poor,26686,business
50,33,female,49709,single,0,high_school,2,poor,21764,home
51,18,male,34114,single,1,high_school,2,poor,33360,home
52,48,female,28219,single,3,high_school,1,poor,21891,home
53,19,male,37282,divorced,0,high_school,0,poor,29528,business
54,54,male,32552,widowed,4,high_school,0,poor,31877,education
55,69,female,40239,single,2,high_school,0,poor,32348,personal
56,35,male,49293,single,0,high_school,2,poor,38371,personal
57,47,male,30350,widowed,5,high_school,1,poor,42614,education
58,33,male,45138,divorced,2,high_school,1,poor,47403,home
59,31,female,29098,divorced,4,high_school,0,poor,25835,car
60,68,female,21096,divorced,3,high_school,2,poor,23285,education
61,52,female,26652,married,2,high_school,1,poor,29176,personal
62,61,male,35010,divorced,1,high_school,2,poor,15130,personal
63,28,female,32989,widowed,1,high_school,1,poor,47256,car
64,61,male,36089,single,0,high_school,0,poor,48234,car
65,27,female,38556,married,1,high_school,2,poor,26295,home
66,27,female,28727,married,5,high_school,2,poor,47929,car
67,67,female,46684,widowed,2,high_school,1,poor,35821,business
68,40,male,26448,married,1,high_school,2,poor,28172,personal
69,25,male,32765,married,3,high_school,1,poor,49021,home
70,41,male,32190,divorced,3,high_school,0,poor,38989,business
71,35,female,45189,married,1,high_school,2,poor,27860,car
72,25,male,29260,divorced,4,high_school,2,poor,48803,business
73,41,male,39980,single,0,high_school,0,poor,17543,education
74,52,female,21861,widowed,2,high_school,1,poor,32765,education
75,21,male,49469,widowed,3,high_school,0,poor,23857,home
76,33,female,27990,widowed,4,high_school,1,poor,14317,car
77,24,female,32321,widowed,0,high_school,1,poor,44443,home
78,70,female,32579,divorced,0,high_school,0,poor,41920,car
79,54,male,33500,widowed,1,high_school,0,poor,38506,home
80,62,female,34954,married,2,high_school,2,poor,36133,education
81,32,male,35520,divorced,4,high_school,1,poor,13580,business
82,67,male,32205,widowed,3,high_school,1,poor,32953,education
83,20,male,40118,widowed,4,high_school,2,poor,26470,personal
84,23,female,33519,divorced,0,high_school,2,poor,11388,personal
85,49,female,34648,widowed,4,high_school,0,poor,39826,education
86,40,female,36495,widowed,2,high_school,0,poor,18221,personal
87,56,female,46635,divorced,1,high_school,1,poor,26421,business
88,70,male,32463,married,1,high_school,0,poor,46387,business
89,43,male,49334,married,5,high_school,2,poor,31745,education
90,48,male,25474,married,2,high_school,1,poor,13505,car
91,56,male,33413,widowed,0,high_school,0,poor,16551,car
92,68,female,24533,widowed,3,high_school,2,poor,18603,home
93,27,female,35464,married,0,high_school,1,poor,47696,business
94,37,female,48993,single,3,high_school,2,poor,35564,car
95,70,female,36929,single,2,high_school,2,poor,41505,business
96,67,male,49408,married,1,high_school,1,poor,33521,business
97,47,female,31909,widowed,4,high_school,1,poor,40126,car
98,20,male,25867,married,0,high_school,1,poor,46988,car
99,49,male,22700,divorced,3,high_school,1,poor,46700,personal
100,64,male,23431,single,2,high_school,2,poor,38764,business
101,45,female,30005,divorced,4,high_school,1,poor,44073,education
102,49,male,26068,single,4,high_school,1,poor,45936,education
103,24,male,20855,married,5,high_school,2,poor,24933,education
104,56,male,24852,divorced,3,high_school,0,poor,38805,home
105,23,male,29433,divorced,1,high_school,0,poor,39154,car
106,32,male,49534,divorced,5,high_school,1,poor,26909,home
107,60,male,26164,single,0,high_school,0,poor,28336,business
108,69,female,23902,widowed,2,high_school,2,poor,38187,personal
109,64,male,45609,single,1,high_school,1,poor,27998,personal
110,18,male,44511,widowed,0,high_school,1,poor,48055,home
111,62,female,24950,widowed,3,high_school,1,poor,40910,personal
112,50,female,43808,widowed,4,high_school,1,poor,34149,home
113,23,female,41192,single,5,high_school,0,poor,30750,education
114,19,female,27094,divorced,2,high_school,0,poor,37102,business
115,60,female,26784,divorced,0,high_school,1,poor,24890,education
116,48,female,34172,single,5,high_school,2,poor,48483,business
117,67,male,21433,married,0,high_school,1,poor,28906,education
118,31,male,46737,widowed,2,high_school,2,poor,12851,personal
119,18,female,46354,widowed,1,high_school,0,poor,45722,home
120,29,male,47316,single,5,high_school,0,poor,12721,personal
121,58,female,44836,divorced,0,high_school,2,poor,29018,car
122,25,female,38351,widowed,2,high_school,0,poor,44998,education
123,27,male,38302,divorced,1,high_school,0,poor,24091,education
124,36,female,39649,married,4,high_school,1,poor,47107,education
125,42,female,30981,single,2,high_school,0,poor,45398,education
126,40,female,25560,married,1,high_school,2,poor,46397,home
127,62,male,26510,divorced,0,high_school,1,poor,26307,business
128,55,male,34958,widowed,1,high_school,0,poor,35776,car
129,32,female,37928,single,2,high_school,0,poor,44606,education
130,22,male,32752,divorced,4,high_school,2,poor,34018,home
131,31,female,40791,single,1,high_school,2,poor,26697,car
132,33,male,38822,widowed,4,high_school,2,poor,38484,education
133,34,female,32454,divorced,1,high_school,1,poor,18514,personal
134,25,female,47662,divorced,3,high_school,2,poor,44174,home
135,59,male,33333,widowed,4,high_school,1,poor,29793,business
136,23,female,43554,single,1,high_school,2,poor,27940,personal
137,33,female,43608,married,4,high_school,2,poor,15760,home
138,44,male,31234,single,3,high_school,1,poor,47144,home
139,36,male,24274,single,3,high_school,1,poor,47523,car
140,38,male,37605,divorced,5,high_school,1,poor,31263,home
141,21,male,42228,divorced,4,high_school,0,poor,26917,personal
142,56,male,26454,divorced,4,high_school,2,poor,19701,personal
143,32,female,45006,married,5,high_school,0,poor,28399,education
144,50,female,34750,single,1,high_school,1,poor,15696,home
145,26,female,37435,married,4,high_school,1,poor,10423,personal
146,31,male,45954,widowed,5,high_school,1,poor,26706,education
147,59,male,28458,widowed,1,high_school,2,poor,21114,car
148,41,male,29371,widowed,5,high_school,0,poor,36852,personal
149,60,male,37518,married,4,high_school,2,poor,11027,car
150,22,female,21397,single,1,high_school,0,poor,35498,car
151,34,female,22439,widowed,4,high_school,2,poor,29210,personal
152,52,male,25613,single,1,high_school,2,poor,44202,business
153,67,female,30694,married,3,high_school,1,poor,41957,business
154,40,female,24231,widowed,1,high_school,2,poor,21260,personal
155,48,female,33730,married,4,high_school,2,poor,26513,car
156,40,male,26653,widowed,5,high_school,2,poor,10327,education
157,56,male,39966,married,4,high_school,2,poor,32506,car
158,42,male,29662,single,1,high_school,0,poor,42312,home
159,60,male,20790,single,3,high_school,2,poor,28610,education
160,45,male,26117,divorced,4,high_school,0,poor,20550,home
161,24,female,39813,single,1,high_school,1,poor,41008,car
162,56,female,25122,married,2,high_school,2,poor,11644,personal
163,24,male,45564,single,5,high_school,0,poor,46168,education
164,44,male,24756,married,3,high_school,0,poor,26367,car
165,40,female,29795,divorced,4,high_school,1,poor,45064,personal
166,38,female,20008,widowed,2,high_school,2,poor,29493,business
167,67,female,44708,married,0,high_school,0,poor,25462,car
168,57,female,33165,divorced,2,high_school,0,poor,33282,personal
169,36,female,35035,divorced,4,high_school,0,poor,38238,education
170,21,male,35364,married,3,high_school,2,poor,29667,personal
171,63,male,39600,divorced,4,high_school,0,poor,10339,car
172,59,female,24605,married,3,high_school,1,poor,37362,personal
173,69,female,49244,widowed,4,high_school,1,poor,22669,business
174,31,male,41890,divorced,2,high_school,0,poor,16936,car
175,30,male,28367,married,3,high_school,2,poor,40350,home
176,50,female,29064,widowed,5,high_school,0,poor,40466,business
177,26,female,47862,single,5,high_school,0,poor,38401,business
178,42,female,35777,single,1,high_school,0,poor,41503,personal
179,54,male,49925,divorced,4,high_school,2,poor,43113,car
180,18,male,27045,widowed,0,high_school,2,poor,45683,business
181,48,male,35125,married,3,high_school,0,poor,20840,education
182,22,female,41602,single,1,high_school,2,poor,41992,car
183,42,female,30086,married,3,high_school,2,poor,32222,home
184,45,male,31671,single,5,high_school,1,poor,32384,car
185,26,female,32886,married,0,high_school,1,poor,29899,education
186,44,male,48491,single,1,high_school,0,poor,23106,personal
187,25,female,48883,widowed,5,high_school,1,poor,13597,home
188,29,male,41594,married,5,high_school,0,poor,40598,personal
189,39,female,31893,married,3,high_school,1,poor,43745,car
190,57,male,41127,married,5,high_school,0,poor,44377,education
191,46,male,29336,married,2,high_school,1,poor,41822,personal
192,67,male,27979,married,4,high_school,2,poor,13895,personal
193,51,female,44730,married,2,high_school,2,poor,30048,car
194,55,male,24806,divorced,2,high_school,0,poor,42165,car
195,25,male,29256,divorced,4,high_school,0,poor,25275,home
196,66,female,36522,widowed,2,high_school,1,poor,36322,home
197,39,female,32011,single,0,high_school,1,poor,42722,home
198,59,male,42109,single,5,high_school,1,poor,13179,car
199,68,female,34946,married,3,high_school,1,poor,37756,car
200,23,female,26207,single,2,high_school,2,poor,38162,home
201,64,male,47884,widowed,1,high_school,2,poor,43651,education
202,41,female,37303,divorced,3,high_school,0,poor,35078,business
203,63,female,46903,widowed,3,high_school,0,poor,10032,personal
204,35,female,33233,widowed,3,high_school,0,poor,29796,business
205,50,female,27245,married,2,high_school,1,poor,11826,personal
206,25,female,24280,married,0,high_school,0,poor,24915,personal
