iter	Passed	Remaining
0	227	227121
1	422	210598
2	603	200410
3	642	159872
4	718	142882
5	840	139293
6	937	132960
7	974	120870
8	1028	113275
9	1062	105189
10	1134	101968
11	1237	101876
12	1301	98842
13	1502	105798
14	1569	103081
15	1639	100843
16	1695	98018
17	1744	95171
18	1905	98399
19	1995	97762
20	2261	105434
21	2386	106102
22	2545	108144
23	2670	108609
24	2885	112541
25	2974	111436
26	3001	108165
27	3035	105358
28	3089	103453
29	3168	102444
30	3382	105738
31	3494	105695
32	3523	103250
33	3562	101230
34	3723	102668
35	3786	101398
36	3823	99516
37	4010	101536
38	4109	101273
39	4189	100545
40	4304	100676
41	4355	99337
42	4522	100660
43	4603	100026
44	4690	99540
45	4856	100711
46	4979	100968
47	5113	101427
48	5228	101475
49	5439	103346
50	5496	102280
51	5639	102808
52	5787	103414
53	5846	102426
54	5929	101876
55	6146	103608
56	6331	104747
57	6449	104752
58	6508	103805
59	6606	103503
60	6687	102947
61	6820	103194
62	6909	102771
63	7003	102422
64	7244	104212
65	7495	106074
66	7694	107150
67	7796	106859
68	7930	107009
69	8050	106962
70	8294	108531
71	8428	108632
72	8667	110064
73	8903	111408
74	9002	111028
75	9203	111898
76	9390	112569
77	9623	113758
78	9821	114506
79	10010	115116
80	10128	114916
81	10245	114698
82	10409	115002
83	10549	115038
84	10676	114928
85	10872	115550
86	11022	115675
87	11154	115604
88	11271	115373
89	11411	115380
90	11547	115345
91	11640	114888
92	11763	114726
93	11968	115353
94	12188	116107
95	12466	117392
96	12632	117598
97	12801	117824
98	12945	117813
99	13140	118265
100	13349	118819
101	13523	119058
102	13672	119074
103	13894	119703
104	14056	119810
105	14253	120217
106	14514	121132
107	14785	122118
108	14958	122274
109	15215	123108
110	15387	123236
111	15604	123722
112	15744	123587
113	15946	123935
114	16158	124348
115	16399	124973
116	16555	124940
117	16722	124992
118	16855	124785
119	16985	124558
120	17172	124750
121	17449	125580
122	17772	126721
123	18167	128347
124	18429	129003
125	18640	129300
126	18856	129619
127	19167	130579
128	19413	131082
129	19647	131485
130	19902	132023
131	20089	132100
132	20309	132393
133	20608	133185
134	20739	132883
135	20998	133404
136	21188	133474
137	21537	134532
138	21750	134727
139	21928	134704
140	22272	135688
141	22478	135823
142	22687	135965
143	22931	136315
144	23293	137350
145	23562	137825
146	23704	137550
147	23950	137877
148	24336	138998
149	24506	138867
150	24698	138870
151	24805	138386
152	24916	137937
153	25040	137561
154	25263	137724
155	25439	137634
156	25564	137266
157	25654	136714
158	25773	136323
159	25985	136426
160	26152	136283
161	26288	135987
162	26533	136249
163	26612	135659
164	26783	135540
165	26926	135282
166	27007	134712
167	27264	135023
168	27378	134622
169	27554	134530
170	27664	134115
171	27827	133959
172	27940	133564
173	28096	133378
174	28331	133564
175	28470	133294
176	28559	132792
177	28747	132756
178	28919	132641
179	29094	132540
180	29365	132876
181	29544	132788
182	29655	132395
183	29845	132359
184	29997	132152
185	30098	131722
186	30194	131271
187	30327	130990
188	30469	130743
189	30630	130581
190	30768	130322
191	30930	130164
192	31087	129989
193	31331	130172
194	31501	130043
195	31664	129889
196	31755	129439
197	31876	129115
198	32036	128949
199	32207	128831
200	32473	129085
201	32562	128639
202	32762	128630
203	32989	128725
204	33345	129314
205	33544	129294
206	33805	129505
207	33982	129394
208	34164	129301
209	34404	129425
210	34512	129052
211	34780	129276
212	34894	128928
213	35061	128776
214	35299	128884
215	35638	129355
216	35749	128995
217	35858	128631
218	35965	128260
219	36173	128251
220	36282	127892
221	36390	127531
222	36683	127816
223	36798	127479
224	36905	127117
225	37109	127091
226	37310	127054
227	37581	127250
228	37812	127309
229	38000	127218
230	38168	127062
231	38461	127322
232	38653	127240
233	38792	126986
234	38911	126668
235	39293	127203
236	39473	127080
237	39686	127063
238	39774	126644
239	39876	126276
240	40009	126004
241	40123	125675
242	40207	125254
243	40302	124872
244	40426	124579
245	40502	124140
246	40694	124059
247	40826	123796
248	40983	123607
249	41133	123401
250	41342	123369
251	41436	122995
252	41513	122571
253	41594	122164
254	41784	122076
255	41912	121807
256	42021	121486
257	42195	121352
258	42383	121260
259	42496	120951
260	42647	120753
261	42782	120508
262	42885	120176
263	42998	119874
264	43168	119730
265	43274	119410
266	43490	119395
267	43598	119083
268	43661	118649
269	43798	118417
270	43928	118167
271	44125	118100
272	44295	117957
273	44488	117877
274	44689	117817
275	44804	117531
276	44883	117149
277	44973	116800
278	45051	116424
279	45177	116170
280	45281	115863
281	45431	115673
282	45615	115570
283	45695	115204
284	45916	115193
285	45980	114789
286	46175	114714
287	46264	114376
288	46418	114198
289	46594	114077
290	46785	113989
291	46950	113839
292	47054	113540
293	47201	113347
294	47396	113270
295	47472	112907
296	47584	112633
297	47839	112695
298	48135	112852
299	48400	112934
300	48618	112905
301	48741	112653
302	48971	112650
303	49146	112519
304	49285	112306
305	49401	112040
306	49655	112088
307	49822	111939
308	50028	111877
309	50144	111611
310	50274	111380
311	50495	111348
312	50603	111068
313	50729	110829
314	50997	110898
315	51203	110833
316	51326	110585
317	51449	110341
318	51587	110128
319	51724	109913
320	51848	109672
321	51980	109448
322	52090	109180
323	52187	108885
324	52316	108658
325	52450	108441
326	52563	108181
327	52703	107978
328	52813	107714
329	52910	107423
330	53024	107170
331	53151	106943
332	53264	106689
333	53450	106580
334	53566	106334
335	53827	106373
336	53986	106209
337	54098	105955
338	54213	105708
339	54345	105494
340	54501	105327
341	54589	105028
342	54724	104822
343	54792	104488
344	54871	104176
345	55016	103990
346	55146	103776
347	55248	103511
348	55329	103207
349	55444	102968
350	55566	102742
351	55652	102450
352	55733	102151
353	55830	101882
354	55965	101684
355	56041	101378
356	56215	101250
357	56289	100943
